aantalDozen;tijd
10;0.00964
2;0.0116
105;1.41334
106;1.63814
275;11.37314
275;10.80582
10;0.00798
10;0.01634
10;0.00899
2;0.01458
2;0.006
510;22.20914
510;22.12524
680;30.07202
675;52.21985
106;0.63621
2;0.01433
105;0.54474
510;22.49053
510;21.97604
395;24.59758
200;3.4319
230;5.15879
344;16.88507
594;83.99252
664;78.44708
10;0.01496
10;0.008
10;0.05564
10;0.01196
10;0.01196
600;27.60524
600;30.45735
105;0.84397
2;0.01594
480;0.22991
480;64.93758
480;56.88443
106;1.19102
480;100.03731
480;37.22685